r,t,dt,inside
2.863644160462e+01,1.000000000000e+01,2.000000000000e+00,1
2.778059864982e+01,2.600000000000e+01,2.000000000000e+00,1
2.551242725164e+01,4.200000000000e+01,2.000000000000e+00,1
2.058093294336e+01,5.800000000000e+01,2.000000000000e+00,-1
4.328976736252e+01,1.000000000000e+01,2.000000000000e+00,1
4.235288621673e+01,2.600000000000e+01,2.000000000000e+00,1
4.035279675088e+01,4.200000000000e+01,2.000000000000e+00,1
3.697728666484e+01,5.800000000000e+01,2.000000000000e+00,1
3.172478473426e+01,7.400000000000e+01,2.000000000000e+00,1
2.357721130560e+01,9.000000000000e+01,2.000000000000e+00,-1
5.801702690697e+01,1.000000000000e+01,2.000000000000e+00,1
5.736504392383e+01,2.600000000000e+01,2.000000000000e+00,1
5.605706602624e+01,4.200000000000e+01,2.000000000000e+00,1
5.400181245712e+01,5.800000000000e+01,2.000000000000e+00,1
5.108069926496e+01,7.400000000000e+01,2.000000000000e+00,1
4.712890303362e+01,9.000000000000e+01,2.000000000000e+00,1
7.273401770643e+01,1.000000000000e+01,2.000000000000e+00,1
7.226954912181e+01,2.600000000000e+01,2.000000000000e+00,1
7.136116099833e+01,4.200000000000e+01,2.000000000000e+00,1
6.997354845295e+01,5.800000000000e+01,2.000000000000e+00,1
6.806432636462e+01,7.400000000000e+01,2.000000000000e+00,1
6.558106024573e+01,9.000000000000e+01,2.000000000000e+00,1
8.744116731428e+01,1.000000000000e+01,2.000000000000e+00,1
8.709646252900e+01,2.600000000000e+01,2.000000000000e+00,1
8.643076029531e+01,4.200000000000e+01,2.000000000000e+00,1
8.542783104712e+01,5.800000000000e+01,2.000000000000e+00,1
8.406889887821e+01,7.400000000000e+01,2.000000000000e+00,1
8.233191263698e+01,9.000000000000e+01,2.000000000000e+00,1
